name,star,time
飞屋环游记,"<p class=""star"">
                主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森
        </p>","<p class=""releasetime"">上映时间：2009-08-04</p>"
乱世佳人,"<p class=""star"">
                主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰
        </p>","<p class=""releasetime"">上映时间：1939-12-15(美国)</p>"
菊次郎的夏天,"<p class=""star"">
                主演：北野武,关口雄介,岸本 加世子
        </p>","<p class=""releasetime"">上映时间：2020-09-25</p>"
一一,"<p class=""star"">
                主演：吴念真,金燕玲,李凯莉
        </p>","<p class=""releasetime"">上映时间：2017-07-28(中国台湾)</p>"
美丽心灵,"<p class=""star"">
                主演：罗素·克劳,詹妮弗·康纳利,艾德·哈里斯
        </p>","<p class=""releasetime"">上映时间：2001-12-13(美国)</p>"
大话西游之大圣娶亲,"<p class=""star"">
                主演：周星驰,朱茵,莫文蔚
        </p>","<p class=""releasetime"">上映时间：2014-10-24</p>"
蝴蝶效应,"<p class=""star"">
                主演：阿什顿·库彻,约翰·帕特里克·阿梅多利,艾米·斯马特
        </p>","<p class=""releasetime"">上映时间：2004-01-23(美国)</p>"
消失的爱人,"<p class=""star"">
                主演：本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯
        </p>","<p class=""releasetime"">上映时间：2014-09-26(美国)</p>"
何以为家,"<p class=""star"">
                主演：赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔
        </p>","<p class=""releasetime"">上映时间：2019-04-29</p>"
少年派的奇幻漂流,"<p class=""star"">
                主演：苏拉·沙玛,伊尔凡·可汗,塔布
        </p>","<p class=""releasetime"">上映时间：2012-11-22</p>"
忠犬八公的故事,"<p class=""star"">
                主演：Forest,理查·基尔,琼·艾伦
        </p>","<p class=""releasetime"">上映时间：2009-06-13(美国)</p>"
当幸福来敲门,"<p class=""star"">
                主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿
        </p>","<p class=""releasetime"">上映时间：2008-01-17</p>"
情书,"<p class=""star"">
                主演：中山美穗,丰川悦司,范文雀
        </p>","<p class=""releasetime"">上映时间：1999-03</p>"
放牛班的春天,"<p class=""star"">
                主演：热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔
        </p>","<p class=""releasetime"">上映时间：2004-10-16</p>"
泰坦尼克号,"<p class=""star"">
                主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩
        </p>","<p class=""releasetime"">上映时间：1998-04-03</p>"
龙猫,"<p class=""star"">
                主演：秦岚,糸井重里,岛本须美
        </p>","<p class=""releasetime"">上映时间：2018-12-14</p>"
复仇者联盟4：终局之战,"<p class=""star"">
                主演：小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛
        </p>","<p class=""releasetime"">上映时间：2019-04-24</p>"
熔炉,"<p class=""star"">
                主演：孔刘,郑有美,金智英
        </p>","<p class=""releasetime"">上映时间：2011-09-22(韩国)</p>"
怦然心动,"<p class=""star"">
                主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹•奎因
        </p>","<p class=""releasetime"">上映时间：2010-07-26(美国)</p>"
星际穿越,"<p class=""star"">
                主演：马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦
        </p>","<p class=""releasetime"">上映时间：2014-11-12</p>"
千与千寻,"<p class=""star"">
                主演：柊瑠美,周冬雨,入野自由
        </p>","<p class=""releasetime"">上映时间：2019-06-21</p>"
阿甘正传,"<p class=""star"">
                主演：汤姆·汉克斯,罗宾·怀特,加里·西尼斯
        </p>","<p class=""releasetime"">上映时间：1994-07-06(美国)</p>"
触不可及,"<p class=""star"">
                主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼
        </p>","<p class=""releasetime"">上映时间：2011-11-02(法国)</p>"
楚门的世界,"<p class=""star"">
                主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇
        </p>","<p class=""releasetime"">上映时间：1998(罗马尼亚)</p>"
寻梦环游记,"<p class=""star"">
                主演：安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔
        </p>","<p class=""releasetime"">上映时间：2017-11-24</p>"
辛德勒的名单,"<p class=""star"">
                主演：连姆·尼森,拉尔夫·费因斯,本·金斯利
        </p>","<p class=""releasetime"">上映时间：1993-11-30(美国)</p>"
小丑,"<p class=""star"">
                主演：华金·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温
        </p>","<p class=""releasetime"">上映时间：2019-10-04(美国)</p>"
摔跤吧！爸爸,"<p class=""star"">
                主演：阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡
        </p>","<p class=""releasetime"">上映时间：2017-05-05</p>"
罗马假日,"<p class=""star"">
                主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特
        </p>","<p class=""releasetime"">上映时间：1953-08-20(意大利)</p>"
布达佩斯大饭店,"<p class=""star"">
                主演：拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南
        </p>","<p class=""releasetime"">上映时间：2014-06-14</p>"
海边的曼彻斯特,"<p class=""star"">
                主演：卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯
        </p>","<p class=""releasetime"">上映时间：2017-08-25</p>"
爱在黎明破晓前,"<p class=""star"">
                主演：伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特
        </p>","<p class=""releasetime"">上映时间：1995-01-27(美国)</p>"
七宗罪,"<p class=""star"">
                主演：布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛
        </p>","<p class=""releasetime"">上映时间：1995-09-22(美国)</p>"
阿凡达,"<p class=""star"">
                主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹
        </p>","<p class=""releasetime"">上映时间：2010-01-04</p>"
超脱,"<p class=""star"">
                主演：艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩
        </p>","<p class=""releasetime"">上映时间：2011-04-25(美国)</p>"
海蒂和爷爷,"<p class=""star"">
                主演：阿努克·斯特芬,布鲁诺·甘茨,昆林·艾格匹
        </p>","<p class=""releasetime"">上映时间：2019-05-16</p>"
釜山行,"<p class=""star"">
                主演：孔刘,郑有美,马东锡
        </p>","<p class=""releasetime"">上映时间：2016-05-13(法国)</p>"
春光乍泄,"<p class=""star"">
                主演：张国荣,梁朝伟,张震
        </p>","<p class=""releasetime"">上映时间：1997-05-17(法国)</p>"
三傻大闹宝莱坞,"<p class=""star"">
                主演：阿米尔·汗,黄渤,卡琳娜·卡普
        </p>","<p class=""releasetime"">上映时间：2011-12-08</p>"
教父,"<p class=""star"">
                主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩
        </p>","<p class=""releasetime"">上映时间：2015-04-18</p>"
被嫌弃的松子的一生,"<p class=""star"">
                主演：中谷美纪,永山瑛太,伊势谷友介
        </p>","<p class=""releasetime"">上映时间：2006-05-27(日本)</p>"
头号玩家,"<p class=""star"">
                主演：泰伊·谢里丹,奥利维亚·库克,本·门德尔森
        </p>","<p class=""releasetime"">上映时间：2018-03-30</p>"
三块广告牌,"<p class=""star"">
                主演：弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔
        </p>","<p class=""releasetime"">上映时间：2018-03-02</p>"
看不见的客人,"<p class=""star"">
                主演：马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多
        </p>","<p class=""releasetime"">上映时间：2017-09-15</p>"
疯狂动物城,"<p class=""star"">
                主演：金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴
        </p>","<p class=""releasetime"">上映时间：2016-03-04</p>"
活着,"<p class=""star"">
                主演：葛优,巩俐,牛犇
        </p>","<p class=""releasetime"">上映时间：1994-05-17(法国)</p>"
天堂电影院,"<p class=""star"">
                主演：菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托
        </p>","<p class=""releasetime"">上映时间：1988-09-29(意大利)</p>"
死亡诗社,"<p class=""star"">
                主演：罗宾·威廉姆斯,伊桑·霍克,柯特伍德·史密斯
        </p>","<p class=""releasetime"">上映时间：1989-06-02(加拿大)</p>"
波西米亚狂想曲,"<p class=""star"">
                主演：拉米·马雷克,本·哈迪,约瑟夫•梅泽罗
        </p>","<p class=""releasetime"">上映时间：2019-03-22</p>"
爱在日落黄昏时,"<p class=""star"">
                主演：伊桑·霍克,朱莉·德尔佩,弗农·多布切夫
        </p>","<p class=""releasetime"">上映时间：2015-04-20</p>"
天空之城,"<p class=""star"">
                主演：寺田农,鹫尾真知子,龟山助清
        </p>","<p class=""releasetime"">上映时间：1992-05-01</p>"
辩护人,"<p class=""star"">
                主演：宋康昊,郭度沅,吴达洙
        </p>","<p class=""releasetime"">上映时间：2013-12-18(韩国)</p>"
无间道,"<p class=""star"">
                主演：刘德华,梁朝伟,黄秋生
        </p>","<p class=""releasetime"">上映时间：2003-09-05</p>"
剪刀手爱德华,"<p class=""star"">
                主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·威斯特
        </p>","<p class=""releasetime"">上映时间：1990-12-06(美国)</p>"
网络谜踪,"<p class=""star"">
                主演：约翰·赵,米切尔·拉,黛博拉·梅辛
        </p>","<p class=""releasetime"">上映时间：2018-12-14</p>"
穿条纹睡衣的男孩,"<p class=""star"">
                主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯
        </p>","<p class=""releasetime"">上映时间：2008-08-28(英国)</p>"
心灵捕手,"<p class=""star"">
                主演：罗宾·威廉姆斯,马特·达蒙,明妮·德里弗
        </p>","<p class=""releasetime"">上映时间：1997-12-05(美国)</p>"
重庆森林,"<p class=""star"">
                主演：梁朝伟,王菲,金城武
        </p>","<p class=""releasetime"">上映时间：1994-07-14(中国香港)</p>"
请以你的名字呼唤我,"<p class=""star"">
                主演：提莫西·查拉梅,艾米·汉莫,迈克尔·斯图巴
        </p>","<p class=""releasetime"">上映时间：2017-01-22(美国)</p>"
闻香识女人,"<p class=""star"">
                主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔
        </p>","<p class=""releasetime"">上映时间：1992-12-23(美国)</p>"
机器人总动员,"<p class=""star"">
                主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林
        </p>","<p class=""releasetime"">上映时间：2008-06-27(美国)</p>"
末代皇帝,"<p class=""star"">
                主演：尊龙,陈冲,彼得·奥图尔
        </p>","<p class=""releasetime"">上映时间：1987-10-04(日本)</p>"
西西里的美丽传说,"<p class=""star"">
                主演：莫妮卡·安娜·玛丽亚·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳
        </p>","<p class=""releasetime"">上映时间：2000-10-26(意大利)</p>"
窃听风暴,"<p class=""star"">
                主演：乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克
        </p>","<p class=""releasetime"">上映时间：2006-03-23(德国)</p>"
本杰明·巴顿奇事,"<p class=""star"">
                主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森
        </p>","<p class=""releasetime"">上映时间：2008-12-25(美国)</p>"
飞越疯人院,"<p class=""star"">
                主演：杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森
        </p>","<p class=""releasetime"">上映时间：1975-11-19(美国)</p>"
美国往事,"<p class=""star"">
                主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文
        </p>","<p class=""releasetime"">上映时间：2015-04-23</p>"
搏击俱乐部,"<p class=""star"">
                主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特
        </p>","<p class=""releasetime"">上映时间：1999-09-10(意大利)</p>"
素媛,"<p class=""star"">
                主演：李甄,薛耿求,严智苑
        </p>","<p class=""releasetime"">上映时间：2013-10-02(韩国)</p>"
蜘蛛侠：平行宇宙,"<p class=""star"">
                主演：沙梅克·摩尔,彭昱畅,杰克·M·约翰森
        </p>","<p class=""releasetime"">上映时间：2018-12-21</p>"
断背山,"<p class=""star"">
                主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯
        </p>","<p class=""releasetime"">上映时间：2005-09-02(意大利)</p>"
致命魔术,"<p class=""star"">
                主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩
        </p>","<p class=""releasetime"">上映时间：2006-10-17(意大利)</p>"
蝙蝠侠：黑暗骑士,"<p class=""star"">
                主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特
        </p>","<p class=""releasetime"">上映时间：2008-07-14(阿根廷)</p>"
十二怒汉,"<p class=""star"">
                主演：亨利·方达,李·科布,马丁·鲍尔萨姆
        </p>","<p class=""releasetime"">上映时间：1957-04-13(美国)</p>"
两杆大烟枪,"<p class=""star"">
                主演：杰森·弗莱明,德克斯特·弗莱彻,杰森•斯坦森
        </p>","<p class=""releasetime"">上映时间：1998-08-28(英国)</p>"
控方证人,"<p class=""star"">
                主演：泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿
        </p>","<p class=""releasetime"">上映时间：1957-12-17(美国)</p>"
大鱼,"<p class=""star"">
                主演：伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格
        </p>","<p class=""releasetime"">上映时间：2003-12-04(美国)</p>"
1917,"<p class=""star"">
                主演：乔治·麦凯,迪恩·查尔斯·查普曼,马克·斯特朗
        </p>","<p class=""releasetime"">上映时间：2020-08-07</p>"
血战钢锯岭,"<p class=""star"">
                主演：安德鲁·加菲尔德,雨果·维文,卢克·布雷西
        </p>","<p class=""releasetime"">上映时间：2016-12-08</p>"
奇迹男孩,"<p class=""star"">
                主演：雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊
        </p>","<p class=""releasetime"">上映时间：2018-01-19</p>"
真爱至上,"<p class=""star"">
                主演：休·格兰特,比尔·奈伊,连姆·尼森
        </p>","<p class=""releasetime"">上映时间：2003-11-21(英国)</p>"
猫鼠游戏,"<p class=""star"">
                主演：莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯
        </p>","<p class=""releasetime"">上映时间：2003-04-11</p>"
饮食男女,"<p class=""star"">
                主演：郎雄,吴倩莲,杨贵媚
        </p>","<p class=""releasetime"">上映时间：1994-08-03(美国)</p>"
时空恋旅人,"<p class=""star"">
                主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊
        </p>","<p class=""releasetime"">上映时间：2013-09-04(英国)</p>"
模仿游戏,"<p class=""star"">
                主演：本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪
        </p>","<p class=""releasetime"">上映时间：2015-07-21</p>"
黑天鹅,"<p class=""star"">
                主演：娜塔莉·波特曼,文森特·卡索,米拉·库妮丝
        </p>","<p class=""releasetime"">上映时间：2010-09-01(意大利)</p>"
爱尔兰人,"<p class=""star"">
                主演：罗伯特·德尼罗,阿尔·帕西诺,乔·佩西
        </p>","<p class=""releasetime"">上映时间：2019-11-27(美国)</p>"
鬼子来了,"<p class=""star"">
                主演：姜文,姜宏波,陈强
        </p>","<p class=""releasetime"">上映时间：2000-05-13(法国)</p>"
